date,height_temperature,low_temperature,height_history_temperature,low_history_temperature
2020-01-01T00:00:00,15.6,8.9,13.1,6.4
2020-01-02T00:00:00,14.4,9.8,13.1,6.3
2020-01-03T00:00:00,12.6,13.6,13.0,6.2
2020-01-04T00:00:00,16.7,11.8,12.9,6.3
2020-01-05T00:00:00,22.7,9.5,12.8,6.2
2020-01-06T00:00:00,25.4,10.6,12.7,6.2
2020-01-07T00:00:00,22.9,13.2,12.6,6.2
2020-01-08T00:00:00,26.2,12.2,12.6,6.2
2020-01-09T00:00:00,17.5,11.7,12.7,6.2
2020-01-10T00:00:00,14.3,7.8,12.7,6.2
2020-01-11T00:00:00,8.1,6.0,12.7,6.1
2020-01-12T00:00:00,14.0,3.4,12.6,6.0
2020-01-13T00:00:00,15.7,3.4,12.3,5.9
2020-01-14T00:00:00,12.0,6.3,12.1,5.7
2020-01-15T00:00:00,11.3,6.7,11.9,5.6
2020-01-16T00:00:00,9.2,5.3,11.8,5.6
2020-01-17T00:00:00,8.5,5.0,11.8,5.6
2020-01-18T00:00:00,9.1,5.1,12.0,5.7
2020-01-19T00:00:00,14.7,6.1,12.1,5.8
2020-01-20T00:00:00,14.4,6.8,12.1,5.9
2020-01-21T00:00:00,16.7,8.4,12.1,5.9
2020-01-22T00:00:00,19.7,8.7,12.0,5.9
2020-01-23T00:00:00,16.9,11.4,11.7,5.8
2020-01-24T00:00:00,12.2,8.1,11.6,5.7
2020-01-25T00:00:00,10.6,5.2,11.6,5.8
2020-01-26T00:00:00,11.7,4.1,11.9,5.8
2020-01-27T00:00:00,11.5,2.4,12.1,5.9
2020-01-28T00:00:00,11.9,2.8,12.4,6.0
2020-01-29T00:00:00,16.5,2.3,12.4,6.1
2020-01-30T00:00:00,14.9,1.5,12.3,6.2
2020-01-31T00:00:00,18.3,4.7,12.1,6.2
2020-02-01T00:00:00,14.2,7.4,11.9,6.2
2020-02-02T00:00:00,14.1,8.6,11.8,6.3
2020-02-03T00:00:00,12.9,8.1,12.0,6.3
2020-02-04T00:00:00,12.6,7.8,12.3,6.4
2020-02-05T00:00:00,12.4,9.0,12.5,6.6
2020-02-06T00:00:00,13.1,9.4,12.8,6.7
2020-02-07T00:00:00,13.3,8.0,13.1,6.9
2020-02-08T00:00:00,11.9,6.8,13.3,7.1
2020-02-09T00:00:00,14.1,7.4,13.5,7.1
2020-02-10T00:00:00,16.3,8.3,13.7,7.3
2020-02-11T00:00:00,15.5,10.3,14.0,7.5
2020-02-12T00:00:00,16.4,12.4,14.3,7.6
2020-02-13T00:00:00,24.8,13.3,14.4,7.8
2020-02-14T00:00:00,20.4,15.1,14.4,8.0
2020-02-15T00:00:00,23.4,3.2,14.3,8.0
2020-02-16T00:00:00,16.9,3.1,14.1,7.9
2020-02-17T00:00:00,13.6,4.4,13.9,7.9
2020-02-18T00:00:00,15.4,4.7,13.8,7.8
2020-02-19T00:00:00,16.0,8.7,13.8,7.9
2020-02-20T00:00:00,18.8,11.9,14.1,8.0
2020-02-21T00:00:00,17.2,12.5,14.3,8.1
2020-02-22T00:00:00,20.9,10.5,14.4,8.2
2020-02-23T00:00:00,24.7,12.6,14.5,8.4
2020-02-24T00:00:00,25.0,13.1,14.6,8.5
2020-02-25T00:00:00,25.0,15.6,14.6,8.5
2020-02-26T00:00:00,28.5,17.3,14.8,8.6
2020-02-27T00:00:00,28.6,16.6,15.1,8.7
2020-02-28T00:00:00,27.1,16.7,15.2,8.8
2020-02-29T00:00:00,26.5,16.2,14.4,7.8
2020-03-01T00:00:00,23.0,14.4,15.5,8.9
2020-03-02T00:00:00,19.3,11.3,15.6,9.0
2020-03-03T00:00:00,16.1,9.4,15.8,9.1
2020-03-04T00:00:00,11.6,9.2,15.9,9.4
2020-03-05T00:00:00,16.8,9.4,16.0,9.7
2020-03-06T00:00:00,14.8,10.2,16.2,9.9
2020-03-07T00:00:00,22.1,11.6,16.3,10.0
2020-03-08T00:00:00,24.7,14.7,16.3,10.2
2020-03-09T00:00:00,24.1,14.4,16.4,10.3
2020-03-10T00:00:00,18.7,11.6,16.6,10.4
2020-03-11T00:00:00,21.5,10.2,16.7,10.6
2020-03-12T00:00:00,16.0,11.8,16.9,10.9
2020-03-13T00:00:00,17.8,12.3,17.2,11.1
2020-03-14T00:00:00,21.8,12.4,17.5,11.2
2020-03-15T00:00:00,21.2,14.6,17.8,11.4
2020-03-16T00:00:00,19.2,14.0,18.2,11.6
2020-03-17T00:00:00,18.3,13.3,18.4,11.8
2020-03-18T00:00:00,17.2,13.2,18.6,11.9
2020-03-19T00:00:00,23.2,13.8,18.6,12.1
2020-03-20T00:00:00,23.5,13.6,18.5,12.1
2020-03-21T00:00:00,26.0,14.5,18.3,12.1
2020-03-22T00:00:00,26.2,17.7,18.3,12.0
2020-03-23T00:00:00,29.5,19.0,18.3,11.9
2020-03-24T00:00:00,28.1,19.2,18.3,11.9
2020-03-25T00:00:00,24.2,18.1,18.6,12.0
2020-03-26T00:00:00,25.2,17.4,18.9,12.2
2020-03-27T00:00:00,23.5,12.7,19.3,12.5
2020-03-28T00:00:00,21.9,9.2,19.6,13.0
2020-03-29T00:00:00,15.3,9.5,19.8,13.3
2020-03-30T00:00:00,10.9,8.9,20.1,13.6
2020-03-31T00:00:00,19.1,9.5,20.4,13.7
2020-04-01T00:00:00,18.4,10.2,20.5,13.9
2020-04-02T00:00:00,16.4,12.1,20.7,14.0
2020-04-03T00:00:00,13.3,12.0,20.9,14.1
2020-04-04T00:00:00,14.6,11.8,21.0,14.3
2020-04-05T00:00:00,15.7,11.7,21.2,14.5
2020-04-06T00:00:00,18.8,13.3,21.5,14.7
2020-04-07T00:00:00,25.3,12.3,21.8,15.0
2020-04-08T00:00:00,25.2,13.2,22.0,15.2
2020-04-09T00:00:00,28.2,12.9,22.1,15.3
2020-04-10T00:00:00,28.3,14.7,22.2,15.3
2020-04-11T00:00:00,21.2,11.0,22.2,15.3
2020-04-12T00:00:00,23.4,9.3,22.2,15.3
2020-04-13T00:00:00,23.1,7.9,22.7,15.3
2020-04-14T00:00:00,21.4,12.8,23.3,15.7
